"campaign","kit_id","transect_location","date_run","fluoride_ppm","fluoride_flag","chloride_ppm","chloride_flag","sulfate_ppm","sulfate_flag","bromide_ppm","bromide_flag","phosphate_ppm","phosphate_flag","nitrite_ppm","nitrite_flag","nitrate_ppm","nitrate_flag","sodium_ppm","sodium_flag","ammonium_ppm","ammonium_flag","potassium_ppm","potassium_flag","magnesium_ppm","magnesium_flag","calcium_ppm","calcium_flag"
"EC1","K020","Water",2022-02-09,"0.163",,"8.331",,"4.069",,"0.705",,,,"0.063",,"1.15",,"4.13",,,,"0.692",,"3.464",,"15.911",
"EC1","K033","Water",2022-02-09,"-0.022",,"23.627",,"4.291",,"0.232",,,,"0.075",,"0.433",,"9.28",,,,"1.264",,"7.768",,"35.978",
"EC1","K050","Water",2022-02-09,,,"20.029",,"6.372",,"1.001",,,,"0.075",,"1.608",,"11.346",,,,"2.034",,"2.111",,"7.172",
"EC1","K045","Water",2022-02-09,,,"31.836",,"12.004",,"1.488",,,,"0.034",,"2.332",,"13.844",,,,"2.793",,"2.115",,"9.219",
"EC1","K038","Water",2022-02-09,,,"16.925",,"18.177",,"0.134",,,,"0.069",,"0.255",,"13.803",,,,"2.875",,"3.338",,"19.721",
"EC1","K049","Water",2022-02-09,,,"1.97",,,,"0.001","below detect",,,"0.018",,"0.006","below detect","1.314",,,,"0.875",,"11.912",,"32.803",
"EC1","K055","Water",2022-02-09,,,"23.986",,"8.019",,"1.046",,,,,,"1.657",,"10.672",,,,"1.622",,"2.709",,"11.018",
"EC1","K019","Water",2022-02-09,,,"18.794",,"27.005",,"-0.002","below detect",,,"0.074",,"0.044","below detect","11.671",,,,"1.903",,"20.539",,"28.563",
"EC1","K008","Water",2022-02-09,,,"20.666",,"19.204",,"0.086","below detect",,,"0.077",,"0.2",,"9.77",,,,"1.934",,"8.497",,"29.884",
"EC1","K011","Water",2022-02-09,,,"23.501",,"21.265",,"0.255",,,,,,"0.521",,"11.112",,,,"2.427",,"8.98",,"31.969",
"EC1","K023","Water",2022-02-09,,,"52.701",,"9.188",,"0.122",,,,"0.077",,"0.232",,"23.538",,,,"3.42",,"3.805",,"16.423",
"EC1","K053","Water",2022-02-09,,,"92.559",,"15.549",,"0.126",,,,"0.086",,"0.31",,"39.413",,,,"7.971",,"7.965",,"28.611",
"EC1","K022","Water",2022-02-09,,,"26.854",,"27.671",,,,"0.831",,"0.072",,"0.196",,"12.379",,,,"4.25",,"19.51",,"47.776",
"EC1","K039","Water",2022-02-09,,,"12.46",,"3.601",,"0.208",,,,"0.062",,"0.372",,"4.717",,,,"0.857",,"8.779",,"24.967",
"EC1","K004","Water",2022-02-09,,,"41.116",,"32.79",,"4.681",,,,"0.045",,"6.888",,"18.375",,,,"3.838",,"11.808",,"36.722",
"EC1","K009","Water",2022-02-09,,,"35.113",,"16.925",,"0.005","below detect",,,"0.084",,"0.049","below detect","17.543",,,,"5.931",,"11.349",,"47.075",
"EC1","K012","Water",2022-02-09,,,"43.379",,"1.336",,"0.04","below detect",,,"0.102",,"0.107","below detect","18.913",,"1.207",,"6.635",,"15.06",,"43.86",
"EC1","K021","Water",2022-02-11,"0.387",,"39.708",,"3.174",,"-0.009","below detect",,,"0.075",,"0.055","below detect","16.268",,,,"3.917",,"20.171",,"40.547",
"EC1","K048","Water",2022-02-11,,,"84.709",,"7.856",,"0.632",,,,"0.045",,"1.138",,"25.366",,,,"2.817",,"10.029",,"27.566",
"EC1","K042","Water",2022-02-11,,,"110.498",,"4.857",,"0.054","below detect",,,"0.036",,"0.153","below detect","35.147",,"0.531",,"3.174",,"13.68",,"34.346",
"EC1","K010","Water",2022-02-11,,,"50.868",,"24.554",,"0.532",,,,"0.136",,"1.223",,"22.063",,,,"7.13",,"11.206",,"49.81",
"EC1","K047","Water",2022-02-11,,,"58.953",,"6.459",,"0.053","below detect",,,"0.013",,"0.206",,"27.786",,,,"1.395",,"18.294",,"50.153",
"EC1","K013","Water",2022-02-11,,,"33.507",,"21.926",,"5.944",,,,"0.366",,"8.978",,"9.893",,,,"3.518",,"19.72",,"57.236",
"EC1","K017","Water",2022-02-11,"-0.587",,"1979.251",,"196.593",,"-1.421","below detect",,,"0.727",,"-1.075","below detect","804.416",,,,"26.325",,"87.423",,"55.257",
"EC1","K029","Water",2022-02-11,,,"3568.847",,"265.477",,"-1.654","below detect",,,"1.653",,"0.538",,"1435.398",,,,"45.182",,"158.853",,"89.318",
"EC1","K044","Water",2022-02-11,,,"1765.239",,"159.786",,"-1.401","below detect",,,"0.208",,"-2.413","below detect","701.734",,,,"20.06",,"79.409",,"51.023",
"EC1","K036","Water",2022-02-11,,,"4449.087",,"440.702",,"-1.552","below detect",,,"2.05",,"1.438",,"1814.495",,,,"59.695",,"200.32",,"100.386",
"EC1","K062","Water",2022-02-11,,,"5538.313",,"525.472",,"0.296",,,,"2.506",,"1.603",,,,,,"73.14",,"252.684",,"125.448",
"EC1","K054","Water",2022-02-11,,,"6949.982",,"482.581",,"-0.294","below detect",,,"2.881",,"-0.787","below detect","2770.694",,,,"83.239",,"308.475",,"159.711",
"EC1","K035","Water",2022-02-11,,,"6271.163",,"629.325",,"-2.017","below detect",,,"2.703",,"-1.863","below detect","2600.063",,,,"75.122",,"302.25",,"55.898",
"EC1","K051","Water",2022-02-11,,,"8459.335",,"807.043",,"-1.076","below detect",,,"3.239",,"-1.374","below detect","3409.96",,,,"105.107",,"445.017",,"78.876",
"EC1","K059","Water",2022-02-11,,,"8812.139",,"887.828",,"-1.231","below detect",,,"3.947",,"-1.044","below detect","3568.905",,,,"114.556",,"462.816",,"88.221",
"EC1","K034","Water",2022-02-11,,,"1141.358",,"107.773",,"-0.186","below detect",,,,,"1.16",,"444.122",,,,"16.44",,"53.359",,"43.761",
"EC1","K025","Water",2022-02-11,"-0.872",,"587.439",,"44.71",,"-1.158","below detect",,,,,"-2.173","below detect","222.924",,,,"5.178",,"24.206",,"20.186",
"EC1","K024","Water",2022-02-14,"-0.532",,"9561.042",,"954.029",,"1.346",,,,"8.355",,"5.779",,"3914.879",,,,"134.47",,"436.921",,"195.389",
"EC1","K030","Water",2022-02-14,"-0.657",,"3525.352",,"329.672",,,,,,"5.55",,"1.644",,"1445.909",,,,"42.964",,"144.689",,"79.132",
"EC1","K052","Water",2022-02-14,"-1.028",,"9984.044",,"1089.259",,"0.866",,,,"8.332",,"4.531",,"4149.942",,,,"136.996",,"457.803",,"203.345",
"EC1","K018","Water",2022-02-14,"1.129",,"16085.256",,"1590.387",,"0.162",,,,"12.79",,"5.475",,"6626.525",,,,"213.114",,"727.236",,"338.533",
"EC1","K016","Water",2022-02-14,"-1.035",,"15575.793",,"1510.89",,"0.088","below detect",,,"13.181",,"5.272",,"6402.352",,,,"202.304",,"702.835",,"309.39",
"EC1","K043","Water",2022-02-14,"0.29",,"14658.099",,"1473.285",,"-0.271","below detect",,,"13.599",,"8.348",,"5982.367",,,,"186.709",,"653.329",,"276.407",
"EC1","K014","Water",2022-02-14,"-0.186",,"41.705",,"21.622",,"0.812",,,,"0.169",,"2.832",,"11.901",,,,"0.615",,"5.19",,"18.994",
"EC1","K057","Water",2022-02-14,"0.086",,"14.773",,"10.638",,"-0.65","below detect",,,"0.065",,"-0.159","below detect","6.836",,,,"-0.356","below detect","1.704",,"2.855",
"EC1","K001","Water",2022-02-14,"-0.125",,"8.917",,"15.177",,"3.32",,,,,,"7.932",,"9.051",,,,"-2.664","below detect","19.972",,"77.136",
"EC1","K058","Water",2022-02-16,,,"10358.244",,"1037.598",,"-4.997","below detect",,,"12.804",,"6.605",,"4100.808",,,,"128.543",,"505.798",,"97.583",
"EC1","K046","Water",2022-02-16,,,"11386.028",,"1039.282",,"-2.104","below detect",,,"13.03",,"6.71",,"4498.95",,,,"142.097",,"555.631",,"110.382",
"EC1","K015","Water",2022-02-16,,,"12583",,"1264.167",,"-2.006","below detect",,,"15.648",,"7.641",,"4988.092",,,,"161.376",,"623.66",,"123.48",
"EC1","K056","Water",2022-02-16,,,"12387.34",,"1191.259",,"-2.266","below detect",,,"15.242",,"5.439",,"4956.006",,,,"151.542",,"606.747",,"114.51",
"EC1","K026","Water",2022-02-16,,,"22638.009",,"2434.49",,"-1.5","below detect",,,"23.563",,"10.106",,"9223.185",,,,"278.578",,"1055.353",,"201.559",
"EC1","K040","Water",2022-02-16,,,"24652.646",,"2550.757",,"-0.216","below detect",,,"29.501",,"12.086",,"9818.768",,,,"317.245",,"1240.189",,"240.008",
"EC1","K041","Water",2022-02-16,,,"25417.512",,"2603.322",,"0.439",,,,"28.361",,"11.619",,,,,,"326.005",,"1289.902",,"251.183",
"EC1","K037","Water",2022-02-18,,,"327.625",,"24.73",,"-0.392","below detect",,,"0.6",,"0.096","below detect","102.983",,,,"5.498",,"12.107",,"11.462",
"EC1","K060","Water",2022-02-18,,,"5166.199",,"502.613",,"0.254",,,,"7.638",,"9.01",,"2030.233",,,,"67.293",,"255.693",,"49.963",
"EC1","K061","Water",2022-02-18,,,"8191.245",,"730.141",,"32.424",,,,"12.27",,"70.974",,"3211.914",,,,"126.235",,"348.724",,"179.078",
