campaign,kit_id,transect_location,acidification,tn_perc,tc_perc,tn_flag,tc_flag
EC1,K010,Transition,FALSE,0.29,3.31,rep outlier,rep outlier
EC1,K009,Transition,FALSE,0.36,4.74,rep outlier,rep outlier
EC1,K015,Transition,FALSE,0.17,2.48,rep outlier,rep outlier
EC1,K011,Transition,FALSE,0.21,2.42,rep outlier,rep outlier
EC1,K049,Transition,FALSE,0.09,0.91,rep outlier,rep outlier
EC1,K045,Transition,FALSE,1.1,15.83,rep outlier,rep outlier
EC1,K021,Transition,FALSE,1.05,11.58,rep outlier,rep outlier
EC1,K036,Transition,FALSE,1.35,14.63,rep outlier,rep outlier
EC1,K062,Transition,FALSE,0.43,6.84,rep outlier,rep outlier
EC1,K034,Transition,FALSE,0.88,9.45,rep outlier,rep outlier
EC1,K048,Transition,FALSE,0.65,7.61,rep outlier,rep outlier
EC1,K054,Transition,FALSE,1.2,24.58,rep outlier,rep outlier
EC1,K022,Transition,FALSE,2,NA,NA,NA
EC1,K018,Transition,FALSE,0.23,3.19,rep outlier,rep outlier
EC1,K047,Transition,FALSE,0.49,7.25,rep outlier,rep outlier
EC1,K059,Transition,FALSE,0.95,14.07,rep outlier,rep outlier
EC1,K052,Transition,FALSE,0.23,3.06,rep outlier,rep outlier
EC1,K001,Transition,FALSE,0.68,9.09,rep outlier,rep outlier
EC1,K058,Transition,FALSE,0.8,9.67,rep outlier,rep outlier
EC1,K061,Transition,FALSE,1.04,7.38,rep outlier,rep outlier
EC1,K042,Transition,FALSE,0.97,12.58,rep outlier,rep outlier
EC1,K019,Transition,FALSE,0.06,1.72,rep outlier,rep outlier
EC1,K050,Transition,FALSE,0.15,2.36,rep outlier,rep outlier
EC1,K046,Transition,FALSE,0.5,5.31,rep outlier,rep outlier
EC1,K044,Transition,FALSE,1.16,14.85,rep outlier,rep outlier
EC1,K029,Transition,FALSE,1.48,19.29,rep outlier,rep outlier
EC1,K025,Transition,FALSE,0.62,7.71,rep outlier,rep outlier
EC1,K041,Transition,FALSE,1.43,22.73,rep outlier,rep outlier
EC1,K035,Transition,FALSE,0.93,9.18,rep outlier,rep outlier
EC1,K039,Transition,FALSE,2.38,24.61,rep outlier,rep outlier
EC1,K004,Transition,FALSE,0.7,7.3,rep outlier,rep outlier
EC1,K040,Transition,FALSE,1.15,21.48,rep outlier,rep outlier
EC1,K013,Transition,FALSE,0.93,9.77,rep outlier,rep outlier
EC1,K051,Transition,FALSE,1.39,21.17,rep outlier,rep outlier
EC1,K024,Transition,FALSE,0.77,9.38,rep outlier,rep outlier
EC1,K017,Transition,FALSE,0.33,3.98,rep outlier,rep outlier
EC1,K056,Transition,FALSE,0.34,3.53,rep outlier,rep outlier
EC1,K053,Transition,FALSE,0.36,4.16,rep outlier,rep outlier
EC1,K026,Transition,FALSE,1.08,11.47,rep outlier,rep outlier
EC1,K016,Transition,FALSE,0.14,2.15,rep outlier,rep outlier
EC1,K007,Transition,FALSE,0.55,5.5,rep outlier,rep outlier
EC1,K008,Transition,FALSE,1.45,18.68,rep outlier,rep outlier
EC1,K044,Upland,FALSE,1.19,23.73,rep outlier,rep outlier
EC1,K054,Upland,FALSE,0.57,10.24,rep outlier,rep outlier
EC1,K062,Upland,FALSE,0.5,10.06,rep outlier,rep outlier
EC1,K052,Upland,FALSE,0.22,3.87,rep outlier,rep outlier
EC1,K040,Upland,FALSE,0.92,46.58,rep outlier,rep outlier
EC1,K024,Upland,FALSE,1.36,33.46,rep outlier,rep outlier
EC1,K033,Upland,FALSE,1,23.75,rep outlier,rep outlier
EC1,K034,Upland,FALSE,0.66,9.8,rep outlier,rep outlier
EC1,K017,Upland,FALSE,0.34,5.85,rep outlier,rep outlier
EC1,K026,Upland,FALSE,0.17,2.23,rep outlier,rep outlier
EC1,K045,Upland,FALSE,1.8,40.48,rep outlier,rep outlier
EC1,K050,Upland,FALSE,1.38,35.14,rep outlier,rep outlier
EC1,K013,Upland,FALSE,1.12,15.05,rep outlier,rep outlier
EC1,K001,Upland,FALSE,0.18,4.25,rep outlier,rep outlier
EC1,K007,Upland,FALSE,0.55,9.69,rep outlier,rep outlier
EC1,K051,Upland,FALSE,0.09,2.31,rep outlier,rep outlier
EC1,K042,Upland,FALSE,0.54,10.04,rep outlier,rep outlier
EC1,K022,Upland,FALSE,0.72,10.67,rep outlier,rep outlier
EC1,K041,Upland,FALSE,1.12,45.27,rep outlier,rep outlier
EC1,K038,Upland,FALSE,0.67,9.7,rep outlier,rep outlier
EC1,K035,Upland,FALSE,0.51,7.39,rep outlier,rep outlier
EC1,K015,Upland,FALSE,0.38,6.53,rep outlier,rep outlier
EC1,K039,Upland,FALSE,0.2,3.62,rep outlier,rep outlier
EC1,K008,Upland,FALSE,0.28,3.22,rep outlier,rep outlier
EC1,K020,Upland,FALSE,0.56,7.44,rep outlier,rep outlier
EC1,K059,Upland,FALSE,1.07,31.36,rep outlier,rep outlier
EC1,K004,Upland,FALSE,0.4,4.28,rep outlier,rep outlier
EC1,K036,Upland,FALSE,1.53,18.27,rep outlier,rep outlier
EC1,K055,Upland,FALSE,0.39,4.84,rep outlier,rep outlier
EC1,K056,Upland,FALSE,0.7,15.22,rep outlier,rep outlier
EC1,K030,Upland,FALSE,1.56,27.84,rep outlier,rep outlier
EC1,K009,Upland,FALSE,0.39,4.31,rep outlier,rep outlier
EC1,K053,Upland,FALSE,0.5,5.46,rep outlier,rep outlier
EC1,K016,Upland,FALSE,1.41,30.14,rep outlier,rep outlier
EC1,K021,Upland,FALSE,0.56,7.43,rep outlier,rep outlier
EC1,K047,Upland,FALSE,1.16,17.35,rep outlier,rep outlier
EC1,K061,Upland,FALSE,0.2,2.49,rep outlier,rep outlier
EC1,K025,Upland,FALSE,0.42,6.27,rep outlier,rep outlier
EC1,K046,Upland,FALSE,0.98,11.07,rep outlier,rep outlier
EC1,K010,Upland,FALSE,0.38,4.35,rep outlier,rep outlier
EC1,K029,Upland,FALSE,1.03,18.96,rep outlier,rep outlier
EC1,K048,Upland,FALSE,0.37,4.22,rep outlier,rep outlier
EC1,K023,Upland,FALSE,1.01,19.54,rep outlier,rep outlier
EC1,K058,Upland,FALSE,1.66,32.47,rep outlier,rep outlier
EC1,K018,Upland,FALSE,1.47,10.82,rep outlier,rep outlier
EC1,K011,Upland,FALSE,0.26,3.32,rep outlier,rep outlier
EC1,K019,Upland,FALSE,0.64,7.63,rep outlier,rep outlier
EC1,K054,Wetland,FALSE,0.92,12.76,rep outlier,rep outlier
EC1,K041,Wetland,FALSE,0.11,1.58,rep outlier,rep outlier
EC1,K007,Wetland,FALSE,0.73,6.04,rep outlier,rep outlier
EC1,K048,Wetland,FALSE,0.52,5.89,rep outlier,rep outlier
EC1,K021,Wetland,FALSE,0.81,7.45,rep outlier,rep outlier
EC1,K053,Wetland,FALSE,0.94,7.88,rep outlier,rep outlier
EC1,K059,Wetland,FALSE,1.53,16.43,rep outlier,rep outlier
EC1,K050,Wetland,FALSE,0.65,6.82,rep outlier,rep outlier
EC1,K047,Wetland,FALSE,1.95,24.76,rep outlier,rep outlier
EC1,K019,Wetland,FALSE,NA,0.63,NA,rep outlier
EC1,K062,Wetland,FALSE,0.76,6.83,rep outlier,rep outlier
EC1,K010,Wetland,FALSE,0.45,5.06,rep outlier,rep outlier
EC1,K015,Wetland,FALSE,0.53,6.37,rep outlier,rep outlier
EC1,K029,Wetland,FALSE,0.54,4.93,rep outlier,rep outlier
EC1,K045,Wetland,FALSE,0.83,8.43,rep outlier,rep outlier
EC1,K049,Wetland,FALSE,0.12,1.27,rep outlier,rep outlier
EC1,K017,Wetland,FALSE,0.64,6.67,rep outlier,rep outlier
EC1,K056,Wetland,FALSE,0.7,7.53,rep outlier,rep outlier
EC1,K022,Wetland,FALSE,1.27,10.39,rep outlier,rep outlier
EC1,K051,Wetland,FALSE,0.2,1.97,rep outlier,rep outlier
EC1,K042,Wetland,FALSE,0.67,7.02,rep outlier,rep outlier
EC1,K024,Wetland,FALSE,1.3,18.03,rep outlier,rep outlier
EC1,K018,Wetland,FALSE,0.09,1.04,rep outlier,rep outlier
EC1,K009,Wetland,FALSE,0.75,8.84,rep outlier,rep outlier
EC1,K044,Wetland,FALSE,0.5,4.77,rep outlier,rep outlier
EC1,K001,Wetland,FALSE,0.65,6.58,rep outlier,rep outlier
EC1,K035,Wetland,FALSE,1.25,11.03,rep outlier,rep outlier
EC1,K025,Wetland,FALSE,0.32,3.59,rep outlier,rep outlier
EC1,K037,Wetland,FALSE,0.55,5.32,rep outlier,rep outlier
EC1,K016,Wetland,FALSE,0.51,5.33,rep outlier,rep outlier
EC1,K013,Wetland,FALSE,1.88,17.78,rep outlier,rep outlier
EC1,K014,Wetland,FALSE,0.24,2.52,rep outlier,rep outlier
EC1,K058,Wetland,FALSE,0.57,5.36,rep outlier,rep outlier
EC1,K040,Wetland,FALSE,0.18,2.65,rep outlier,rep outlier
EC1,K026,Wetland,FALSE,0.36,4.19,rep outlier,rep outlier
EC1,K012,Wetland,FALSE,0.51,4.58,rep outlier,rep outlier
EC1,K011,Wetland,FALSE,0.56,5.82,rep outlier,rep outlier
EC1,K061,Wetland,FALSE,0.49,4.55,rep outlier,rep outlier
EC1,K023,Wetland,FALSE,1.47,15.22,rep outlier,rep outlier
EC1,K004,Wetland,FALSE,0.72,7.21,rep outlier,rep outlier
EC1,K008,Wetland,FALSE,0.54,7,rep outlier,rep outlier
EC1,K039,Wetland,FALSE,2.62,34.52,rep outlier,rep outlier
EC1,K030,Wetland,FALSE,0.54,5.49,rep outlier,rep outlier
EC1,K036,Wetland,FALSE,1.57,14.71,rep outlier,rep outlier
EC1,K034,Wetland,FALSE,0.73,6.93,rep outlier,rep outlier
EC1,K033,Wetland,FALSE,0.37,5.17,rep outlier,rep outlier
EC1,K038,Wetland,FALSE,1.06,10.54,rep outlier,rep outlier
